Symbol,Subtheme,Weight, Current Value , Total Gain / Loss ,Total Gain / Loss %
DIS,Adtech,0.46%," $ 3,676.21 ", $ (323.77),-8.09%
BE,AI-Industrial,0.31%," $ 2,491.47 ", $ 644.75 ,34.91%
IREN,AI-Industrial,0.49%," $ 4,004.82 ", $ (803.64),-16.72%
LITE,AI-Industrial,2.67%," $ 21,623.84 "," $ 9,492.76 ",78.25%
NBIS,AI-Industrial,0.72%," $ 5,852.08 "," $ 1,012.91 ",20.93%
NVDA,AI-Industrial,0.59%," $ 4,796.28 ", $ (60.13),-1.24%
TSM,AI-Industrial,0.72%," $ 5,809.92 ", $ 914.64 ,18.68%
BE,Battery,0.49%," $ 4,018.50 "," $ 1,039.91 ",34.91%
AWK,Digital Infra,1.06%," $ 8,584.48 ", $ 584.49 ,7.30%
CIEN,Digital Infra,2.05%," $ 16,612.61 "," $ 8,612.66 ",107.65%
DBRG,Digital Infra,1.04%," $ 8,414.72 ", $ 414.73 ,5.18%
DLR,Digital Infra,1.10%," $ 8,931.88 ", $ 931.95 ,11.64%
EQIX,Digital Infra,1.35%," $ 10,961.47 "," $ 2,962.07 ",37.02%
NEE,Digital Infra,1.12%," $ 9,034.03 "," $ 1,034.05 ",12.92%
PWR,Digital Infra,1.18%," $ 9,524.80 "," $ 1,524.93 ",19.06%
VRT,Digital Infra,1.39%," $ 11,238.71 "," $ 3,238.79 ",40.48%
ABNB,Experientials,1.04%," $ 8,456.45 ", $ 456.51 ,5.70%
DIS,Experientials,0.46%," $ 3,676.21 ", $ (323.77),-8.09%
LYV,Experientials,2.30%," $ 18,604.98 "," $ 1,605.04 ",9.44%
MAR,Experientials,1.12%," $ 9,094.22 "," $ 1,094.30 ",13.67%
MSGE,Experientials,1.17%," $ 9,491.70 "," $ 1,491.74 ",18.64%
NCLH,Experientials,1.02%," $ 8,297.72 ", $ 297.72 ,3.72%
RCL,Experientials,1.05%," $ 8,475.84 ", $ 475.89 ,5.94%
TKO,Experientials,0.99%," $ 7,987.58 ", $ (12.32),-0.16%
BWXT,Nuclear,1.26%," $ 10,191.23 "," $ 2,191.28 ",27.39%
EXC,Nuclear,1.06%," $ 8,580.84 ", $ 580.87 ,7.26%
GE,Nuclear,1.00%," $ 8,089.67 ", $ 89.95 ,1.12%
MA,Payments,0.91%," $ 7,394.61 ", $ (604.99),-7.57%
ALRM,Security,0.83%," $ 6,706.84 "," $ (1,293.15)",-16.17%
MSI,Security,1.20%," $ 9,710.58 "," $ 1,626.24 ",20.11%
OSIS,Security,1.08%," $ 8,778.56 ", $ 629.30 ,7.72%
ABBV,Silver,0.92%," $ 7,434.43 ", $ (576.24),-7.20%
AMGN,Silver,0.99%," $ 8,048.33 ", $ 17.74 ,0.22%
DXCM,Silver,0.53%," $ 4,261.93 ", $ (138.00),-3.14%
TNL,Silver,0.69%," $ 5,594.70 ", $ 265.77 ,4.98%
VTR,Silver,0.68%," $ 5,482.99 ", $ 145.43 ,2.72%
WELL,Silver,0.66%," $ 5,376.95 ", $ (121.11),-2.21%
CLH,Waste,1.26%," $ 10,172.47 "," $ 2,172.58 ",27.15%
DAR,Waste,1.80%," $ 14,541.30 "," $ 6,541.34 ",81.76%
RSG,Waste,1.05%," $ 8,465.56 ", $ 465.68 ,5.82%
WM,Waste,1.10%," $ 8,944.95 ", $ 945.01 ,11.81%
NOW,Legacy Software,0.98%," $ 7,959.16 ", $ (40.80),-0.51%
RDDT,Legacy Software,0.96%," $ 7,813.02 "," $ (1,673.52)",-17.65%
SNOW,Legacy Software,0.92%," $ 7,483.34 ", $ (516.50),-6.46%
BMI,Water PFAS,1.60%," $ 12,994.19 ", $ 761.22 ,6.22%
ECL,Water PFAS,1.46%," $ 11,804.86 ", $ (427.88),-3.50%
MWA,Water PFAS,1.51%," $ 12,204.39 ", $ (28.60),-0.24%
PNR,Water PFAS,1.96%," $ 15,846.43 ", $ (463.57),-2.85%
VLTO,Water PFAS,1.97%," $ 15,945.84 ", $ (381.14),-2.34%
WTS,Water PFAS,1.44%," $ 11,638.07 ", $ (594.78),-4.87%
EVLV,Security,0.99%," $ 7,986.87 ", $ (13.13),-0.17%
AON,War,1.00%," $ 8,067.48 ", $ 67.66 ,0.84%
BAC,Banks,1.90%," $ 15,378.58 ", $ 451.58 ,3.02%
BANC,Banks,0.10%, $ 828.40 , $ 28.41 ,3.55%
C,Banks,1.07%," $ 8,643.32 ", $ 306.35 ,3.67%
CB,War,0.98%," $ 7,960.01 ", $ (39.70),-0.50%
DHT,War,1.00%," $ 8,071.95 ", $ 71.95 ,0.89%
EWBC,Banks,0.10%, $ 825.83 , $ 22.33 ,2.77%
FHN,Banks,0.10%, $ 825.34 , $ 25.34 ,3.16%
FRO,War,1.01%," $ 8,183.99 ", $ 183.99 ,2.29%
GS,Banks,1.38%," $ 11,208.41 ", $ 252.21 ,2.30%
JPM,Banks,4.24%," $ 34,354.03 ", $ 530.21 ,1.56%
LMT,War,1.01%," $ 8,186.80 ", $ 187.12 ,2.33%
MS,Banks,1.41%," $ 11,430.32 ", $ 235.48 ,2.10%
MTB,Banks,0.17%," $ 1,389.36 ", $ 40.49 ,3.00%
PNFP,Banks,0.10%, $ 823.09 , $ 21.36 ,2.66%
TFC,Banks,0.31%," $ 2,545.11 ", $ 84.13 ,3.41%
WFC,Banks,1.34%," $ 10,868.94 ", $ 255.98 ,2.41%
Total Positions,,73.92%," $ 598,703.59 ",,
In Benchmark,,26.07%," $ 211,115.37 ",,
Portfolio Value,,," $ 809,818.96 ",,
