Symbol,Subtheme,Weight,Current Value,Total Gain / Loss,Total Gain / Loss %
BE,AI-Industrial,0.39%,"$3,260.50","$1,413.78",76.56%
IREN,AI-Industrial,0.59%,"$4,909.98",$101.52,2.11%
LITE,AI-Industrial,2.91%,"$24,393.04","$12,261.96",101.07%
NBIS,AI-Industrial,0.96%,"$8,037.12","$3,197.95",66.08%
NVDA,AI-Industrial,0.61%,"$5,111.37",$254.96,5.24%
TSM,AI-Industrial,0.75%,"$6,282.69","$1,387.41",28.34%
BE,Battery,0.63%,"$5,258.88","$2,280.29",76.56%
AWK,Digital Infra,1.00%,"$8,366.61",$366.62,4.58%
CIEN,Digital Infra,2.19%,"$18,358.57","$10,358.62",129.48%
DBRG,Digital Infra,1.02%,"$8,496.58",$496.59,6.20%
DLR,Digital Infra,1.13%,"$9,415.80","$1,415.87",17.69%
EQIX,Digital Infra,1.36%,"$11,401.18","$3,401.78",42.52%
NEE,Digital Infra,1.07%,"$8,992.14",$992.16,12.40%
PWR,Digital Infra,1.22%,"$10,237.12","$2,237.25",27.96%
VRT,Digital Infra,1.56%,"$13,029.66","$5,029.74",62.87%
ABNB,Experientials,1.04%,"$8,690.51",$690.57,8.63%
LYV,Experientials,2.30%,"$19,255.66","$2,255.72",13.26%
MAR,Experientials,1.16%,"$9,674.32","$1,674.40",20.93%
MSGE,Experientials,1.14%,"$9,579.95","$1,579.99",19.75%
NCLH,Experientials,1.04%,"$8,678.97",$678.97,8.48%
RCL,Experientials,1.04%,"$8,682.13",$682.18,8.52%
TKO,Experientials,0.95%,"$7,924.74",-$75.16,-0.94%
BWXT,Nuclear,1.31%,"$10,986.31","$2,986.36",37.32%
EXC,Nuclear,1.01%,"$8,442.33",$442.36,5.52%
GE,Nuclear,1.04%,"$8,740.06",$740.34,9.25%
MA,Payments,0.90%,"$7,499.01",-$500.59,-6.26%
MSI,Security,1.16%,"$9,678.02","$1,593.68",19.71%
OSIS,Security,1.14%,"$9,518.40","$1,369.14",16.80%
AMGN,Silver,0.98%,"$8,218.67",$188.08,2.34%
DXCM,Silver,0.51%,"$4,255.86",-$144.07,-3.28%
TNL,Silver,0.72%,"$6,034.93",$706.00,13.24%
VTR,Silver,0.67%,"$5,579.50",$241.94,4.53%
WELL,Silver,0.66%,"$5,539.13",$41.07,0.74%
CLH,Waste,1.23%,"$10,306.91","$2,307.02",28.83%
DAR,Waste,1.67%,"$13,976.85","$5,976.89",74.71%
RSG,Waste,0.98%,"$8,182.68",$182.80,2.28%
WM,Waste,1.06%,"$8,837.82",$837.88,10.47%
NOW,Legacy Software,0.83%,"$6,920.94","-$1,079.02",-13.49%
RDDT,Legacy Software,1.01%,"$8,434.83","-$1,051.71",-11.09%
BMI,Water PFAS,1.61%,"$13,460.72","$1,227.75",10.03%
ECL,Water PFAS,1.45%,"$12,166.04",-$66.70,-0.55%
MWA,Water PFAS,1.60%,"$13,356.66","$1,123.67",9.18%
PNR,Water PFAS,2.00%,"$16,709.39",$399.39,2.44%
VLTO,Water PFAS,1.95%,"$16,326.83",-$0.15,-0.01%
WTS,Water PFAS,1.49%,"$12,508.65",$275.80,2.25%
EVLV,Security,0.99%,"$8,314.73",$314.73,3.93%
AON,War,0.96%,"$8,048.44",$48.62,0.60%
BAC,Banks,1.96%,"$16,389.28","$1,462.28",9.79%
BANC,Banks,0.10%,$857.97,$57.98,7.24%
C,Banks,1.11%,"$9,300.26",$963.29,11.55%
CB,War,0.96%,"$8,035.01",$35.30,0.44%
DHT,War,0.92%,"$7,662.03",-$337.97,-4.23%
EWBC,Banks,0.11%,$881.86,$78.36,9.75%
FHN,Banks,0.10%,$861.86,$61.86,7.73%
FRO,War,0.93%,"$7,816.07",-$183.93,-2.30%
GS,Banks,1.38%,"$11,528.60",$572.40,5.22%
JPM,Banks,4.36%,"$36,473.76","$2,649.94",7.83%
LMT,War,0.95%,"$7,953.10",-$46.58,-0.59%
MS,Banks,1.49%,"$12,431.63","$1,236.79",11.04%
MTB,Banks,0.17%,"$1,450.11",$101.24,7.50%
PNFP,Banks,0.10%,$866.19,$64.46,8.04%
TFC,Banks,0.32%,"$2,671.73",$210.75,8.56%
WFC,Banks,1.37%,"$11,505.01",$892.05,8.40%
Total Positions,,71.32%,"$596,765.70",,
In Benchmark,,28.69%,"$240,126.92",,
Portfolio Value,,,"$836,892.62 ",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
